id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
6328,"Pandora's Star (Commonwealth Saga, #1)","
        (Commonwealth Saga #1)
","Peter F. Hamilton,Marta García Martínez",,"Science Fiction,Fiction,Space,Space Opera,Audiobook,Science Fiction Fantasy,Space,Fantasy,Science Fiction,Aliens,Adventure",March 2nd 2005,"Del Rey

            ,",,,"2,282","46,344",4.22
6329,David Attenborough's Life on Air: Memoirs of a Broadcaster,,David Attenborough,,"Nonfiction,Biography,Biography,Autobiography,Autobiography,Memoir,Science,Audiobook,Environment,Nature,Science,Natural History,Travel",September 4th 2003,"BBC Books

            ,",,,367,"3,593",4.42
6330,Wantin (Wantin #1),"
        (Wantin #1)
",Truth Devour,,"Romance,Contemporary,Romance,Contemporary Romance,Romance,Paranormal Romance,Adult Fiction,Erotica,Adult Fiction,Adult",August 1st 2013,Publicious Pty Ltd,,,80,106,4.05
6331,Exit West,,Mohsin Hamid,,"Fiction,Magical Realism,Fantasy,Contemporary,Literary Fiction,Audiobook,Romance,Adult,Novels",March 7th 2017,Riverhead,,,"14,108","117,844",3.78
6332,Little Black Book of Stories,,A.S. Byatt,,"Short Stories,Fiction,Fantasy,Horror,Gothic,European Literature,British Literature,Literary Fiction,Fantasy,Fairy Tales,Literature",February 8th 2005,"Vintage

            ,",,,323,"2,568",3.8
6333,"The Derek Long Saga (Nicolette Mace: The Raven Siren, #3)","
        (Nicolette Mace: The Raven Siren #3)
",C.S. Woolley,,,June 15th 2012,Mightier Than the Sword UK,,,1,3,5
6334,Pacific: The Ocean of the Future,,Simon Winchester,,"History,Nonfiction,Science,Travel,Cultural,Asia,Politics,Science,Geography,Environment,Nature,Audiobook",October 27th 2015,Harper,,,500,"3,169",4.02
6335,A Primate's Memoir,,Robert M. Sapolsky,,"Science,Nonfiction,Autobiography,Memoir,Animals,Cultural,Africa,Science,Biology,Anthropology,Biography,Environment,Nature",April 4th 2002,"Vintage

            ,",,,780,"6,656",4.36
6336,"A Column of Fire (Kingsbridge, #3)","
        (Kingsbridge #3)
",Ken Follett,,"Historical,Historical Fiction,Fiction,Historical,Audiobook,European Literature,British Literature,Adult,Fantasy,Religion,Novels",September 12th 2017,Viking Penguin,,,"6,168","87,029",4.19
6337,Tyndale Bible Dictionary,,"Walter A. Elwell,Philip W. Comfort",,"Reference,Reference,Dictionaries",January 1st 2008,"Tyndale House Publishers

            ,",,,1,7,4.14
6338,"Fool's Quest  (The Fitz and The Fool, #2)","
        (Fitz and the Fool #2)
",Robin Hobb,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Science Fiction Fantasy,Fantasy,Dragons,Fantasy,Magic,Adventure,Audiobook",August 11th 2015,Del Rey,,,"1,946","34,112",4.52
6339,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)","
        (Sisterhood #3)
",Ann Brashares,,"Young Adult,Fiction,Womens Fiction,Chick Lit,Contemporary,Romance,Young Adult,Teen,Realistic Fiction,Young Adult,Coming Of Age,Childrens",June 13th 2006,"Ember

            ,",,,"1,808","78,238",3.82
6340,Saving Amelie,,Cathy Gohlke,,"Historical,Historical Fiction,Christian Fiction,War,World War II,Fiction,Historical,Christian,World War II,Holocaust,Romance,Christian Fiction,Christian Historical Fiction",June 1st 2014,"Tyndale House Publishers

            ,",,,414,"2,715",4.23
6341,A Skinful of Shadows,,Frances Hardinge,,"Fantasy,Historical,Historical Fiction,Young Adult,Historical,Fiction,Fantasy,Paranormal,Paranormal,Ghosts,Horror,Fantasy,Supernatural",September 21st 2017,"Macmillan Children's Books

            ,",,,"1,109","6,833",4.01
6342,Home Fire,,Kamila Shamsie,,"Fiction,Contemporary,Literary Fiction,Retellings,Audiobook,Novels,Cultural,Pakistan,Book Club,Adult Fiction",August 15th 2017,"Riverhead Books

            ,",,,"5,549","50,952",4.05
6343,Imperial Grunts: The American Military on the Ground,,Robert D. Kaplan,,"War,Military Fiction,History,Nonfiction,War,Military,Military History,Politics,Travel,Political Science,International Relations,Literature,American",September 13th 2005,"Random House

            ,",,,104,"1,628",3.96
6344,"Dead Over Heels (Aurora Teagarden, #5)","
        (Aurora Teagarden #5)
",Charlaine Harris,,"Mystery,Fiction,Mystery,Cozy Mystery,Romance,Mystery,Crime,Adult,Thriller,Mystery Thriller,Audiobook,Womens Fiction,Chick Lit",March 1st 1997,"Thorndike Press

            ,",,,615,"16,035",3.8
6345,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",,Lauren Graham,,"Nonfiction,Autobiography,Memoir,Audiobook,Biography,Humor,Biography,Autobiography,Biography Memoir,Adult,Humor,Comedy",November 29th 2016,Ballantine Books,,,"11,862","109,915",3.93
6346,"The Vanishing Stair (Truly Devious, #2)","
        (Truly Devious #2)
",Maureen Johnson,,"Mystery,Young Adult,Contemporary,Audiobook,Thriller,Mystery Thriller,Fiction,Thriller,Mystery,Crime,School Stories,Boarding School",January 22nd 2019,Katherine Tegen Books,,,"7,159","50,181",4.22
6347,"Dom Wars: Round Four (Dom Wars, #4)","
        (Dom Wars #4)
",Lucian Bane,,"Erotica,BDSM,Adult Fiction,Erotica,Romance,Humor,Romance,Erotic Romance,Romance,M F Romance,Novella,Drama,Romance,Contemporary Romance",May 8th 2014,NaN,,,134,"1,003",4.32
6348,The Wife Between Us,,"Greer Hendricks,Sarah Pekkanen",,"Thriller,Fiction,Mystery,Thriller,Mystery Thriller,Audiobook,Suspense,Adult,Thriller,Psychological Thriller,Contemporary",January 9th 2018,"St. Martin's Press

            ,",,,"25,065","271,522",3.85
6349,Originals: How Non-Conformists Move the World,,Adam M. Grant,,"Nonfiction,Business,Psychology,Self Help,Leadership,Self Help,Personal Development,Audiobook,Business,Entrepreneurship,Science",February 2nd 2016,Viking,,,"2,886","45,033",3.93
6350,"The Bands of Mourning (Mistborn, #6)","
        (The Mistborn Saga #6)
",Brandon Sanderson,,"Fantasy,Fiction,Science Fiction,Steampunk,Fantasy,Epic Fantasy,Audiobook,Fantasy,High Fantasy,Adult,Adventure,Young Adult",January 26th 2016,Tor,,,"5,072","90,954",4.39
6351,Wish,,Barbara O'Connor,,"Childrens,Middle Grade,Realistic Fiction,Fiction,Childrens,Animals,Family,Animals,Dogs,Childrens,Juvenile,Young Adult",August 30th 2016,"Farrar, Straus and Giroux (BYR)",,,"1,397","10,399",4.32
6352,Night Theater,,Vikram Paralkar,,"Fiction,Fantasy,Magical Realism,Cultural,India,Horror,Literary Fiction,Audiobook,Cultural,Asia,Contemporary",January 14th 2020,"Catapult

            ,",,,358,"1,948",3.69
6353,"Paranormal Puppet Show (The Invisible Detective, #1)","
        (The Invisible Detective #1)
",Justin Richards,,"Mystery,Childrens",",",NaN,,,8,82,3.94
6354,The Lost World of Scripture: Ancient Literary Culture and Biblical Authority,"
        (The Lost World Series #3)
","John H. Walton,D. Brent Sandy",,"Religion,Theology,History,Christian,Religion,Religion,Christianity,Nonfiction,Religion,Scripture,Christianity,Old Testament,Spirituality",November 1st 2013,IVP Academic,,,29,224,4.27
6355,"Hogwarts: An Incomplete and Unreliable Guide (Pottermore Presents, #3)","
        (Pottermore Presents #3)
",J.K. Rowling,,"Fantasy,Fiction,Short Stories,Young Adult,Fantasy,Magic,Childrens,Childrens,Middle Grade,Science Fiction Fantasy,Paranormal,Witches",September 6th 2016,Pottermore Limited,,,"1,998","28,502",4.2
6356,"Children of Blood and Bone (Legacy of Orïsha, #1)","
        (Legacy of Orïsha #1)
",Tomi Adeyemi,,"Fantasy,Young Adult,Fiction,Young Adult,Young Adult Fantasy,Fantasy,Magic,Audiobook,Romance,Adventure,Fantasy,High Fantasy",March 6th 2018,Henry Holt Company,,,"27,074","196,583",4.08
6357,Shell Shaker,,LeAnne Howe,,"Fiction,Historical,Historical Fiction,Academic,School,Literary Fiction,Magical Realism,Academic,Read For School,Historical,Contemporary,Adult Fiction",September 1st 2001,Aunt Lute Books,,,52,597,3.81
6358,"House of Many Ways (Howl's Moving Castle, #3)","
        (Howl's Moving Castle #3)
",Diana Wynne Jones,,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Young Adult,Young Adult Fantasy,Science Fiction Fantasy",June 10th 2008,"Greenwillow Books

            ,",,,"2,521","31,388",4.06
6359,Norse Mythology,,Neil Gaiman,,"Fantasy,Fantasy,Mythology,Fiction,Audiobook,Short Stories,Classics,Historical,Historical Fiction,Adult,Retellings",February 7th 2017,W. W. Norton & Company,,,"22,798","261,139",4.08
6360,"Heartstopper: Volume One (Heartstopper, #1)","
        (Heartstopper #1)
",Alice Oseman,,"Sequential Art,Graphic Novels,Romance,LGBT,Young Adult,Contemporary,Sequential Art,Comics,LGBT,Queer,Fiction,Graphic Novels Comics",February 7th 2019,"Hodder Children's Books

            ,",,,"25,071","146,394",4.53
6361,"Le visionarie. Fantascienza, fantasy e femminismo: un'antologia",,"Ann VanderMeer,Jeff VanderMeer,Claudia Durastanti,Veronica Raimo",,"Short Stories,Science Fiction,Fiction,Feminism,Fantasy,Speculative Fiction,Anthologies,Science Fiction Fantasy,Gender",February 14th 2018,"Nero

            ,",,,181,"1,048",4.12
6362,Ο Δον Υπαστυνόμος,,Δημήτρης Καρακίτσος,,,Dec-20,Εκδόσεις Αντίποδες,,,24,93,4.19
6363,Veriruusut,,Anneli Kanto,,"Historical,Historical Fiction,European Literature,Finnish Literature,War,Fiction,Historical",2008,Gummerus,,,34,247,4.25
6364,"A Memory Called Empire (Teixcalaan, #1)","
        (Teixcalaan #1)
",Arkady Martine,,"Science Fiction,Fiction,Fantasy,Space,Space Opera,LGBT,Adult,LGBT,Queer,Mystery,Space",March 26th 2019,Tor Books,,,"4,312","31,544",4.14
6365,Dodgers,,Bill Beverly,,"Fiction,Mystery,Crime,Mystery,Thriller,Young Adult,Coming Of Age,Literary Fiction,Contemporary,Young Adult,Thriller,Mystery Thriller",April 5th 2016,"Crown

            ,",,,811,"5,699",3.88
6366,"Flashback (Keeper of the Lost Cities, #7)","
        (Keeper of the Lost Cities #7)
",Shannon Messenger,,"Fantasy,Childrens,Middle Grade,Young Adult,Fiction,Adventure,Romance,Fantasy,Magic,Childrens,Young Adult,Young Adult Fantasy",November 6th 2018,Aladdin,,,"1,308","15,369",4.41
6367,Conspiracy of Fools,,Kurt Eichenwald,,"Business,Nonfiction,History,Economics,Finance,Economics,Crime,True Crime,Politics,Mystery,Crime,Audiobook",December 27th 2005,"Broadway Books

            ,",,,376,"6,329",4.12
6368,A Year in the Life of William Shakespeare: 1599,,James Shapiro,,"History,Nonfiction,Biography,Plays,Theatre,Criticism,Literary Criticism,European Literature,British Literature,Literature,Drama,Historical",June 13th 2006,"Harper Perennial

            ,",,,383,"3,307",4.09
6369,The Margarets,,Sheri S. Tepper,,"Science Fiction,Fantasy,Fiction,Science Fiction Fantasy,Speculative Fiction,Feminism,Science Fiction,Aliens,Space,Space Opera,Novels",May 22nd 2007,"Harper Voyager

            ,",,,206,"1,632",3.87
6370,My Friend Leonard,,James Frey,,"Fiction,Contemporary,Biography Memoir,Adult,Novels,Adult Fiction,Health,Mental Health,Literature,American,Drama",May 30th 2006,"Riverhead Books

            ,",,,"1,716","44,303",3.84
6371,Blueprints Of The Afterlife,,Ryan Boudinot,,"Science Fiction,Fiction,Science Fiction,Dystopia,Fantasy,Speculative Fiction,Apocalyptic,Post Apocalyptic,Science Fiction Fantasy,Humor,Novels",January 3rd 2012,"Grove/Atlantic, Inc.",,,388,"2,241",3.69
6372,Rock and Roll Will Save Your Life: A Book by and for the Fanatics Among Us,,Steve Almond,,"Music,Nonfiction,Autobiography,Memoir,Humor,Writing,Essays,Culture,Pop Culture,Biography,Music,Rock N Roll,Adult",April 13th 2010,"Random House

            ,",,,153,"1,072",3.65
6373,Fearless,,Tim Lott,,"Science Fiction,Dystopia,Young Adult,Science Fiction,Fiction,Fantasy,Childrens,Middle Grade,Contemporary,Adventure,Novels",June 4th 2007,"Walker & Company

            ,",,,200,"1,259",3.83
6374,Escape,,"Carolyn Jessop,Laura Palmer",,"Nonfiction,Autobiography,Memoir,Biography,Religion,Biography Memoir,Religion,Cults,Biography,Autobiography,Polyamory,Polygamy,Crime,True Crime",December 31st 2007,"Broadway Books

            ,",,,"4,718","45,551",3.91
6375,"Sorcha de Mallaig (Mallaig, #3)","
        (Mallaig #3)
",Diane Lacombe,,"Historical,Historical Fiction,Cultural,France,Historical,Romance,Roman,Romance,Historical Romance,Cultural,Scotland",February 26th 2004,VLB éditeur,,,9,136,3.82
6376,Good Masters! Sweet Ladies!: Voices from a Medieval Village,,"Laura Amy Schlitz,Robert Byrd",,"Historical,Historical Fiction,Poetry,Childrens,Childrens,Middle Grade,Fiction,Historical,Young Adult,Historical,Medieval,Plays",July 24th 2007,Candlewick,,,"1,031","8,066",3.66
6377,"The Swords of Night and Day (The Drenai Saga, #11)","
        (The Drenai Saga #11)
",David Gemmell,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,Heroic Fantasy,Fantasy,High Fantasy,Adventure,Romance,Heroic Fantasy,Sword and Sorcery,War",April 1st 2005,"Corgi

            ,",,,151,"8,484",4.33
6378,The Black Dagger Brotherhood: An Insider's Guide,"
        (Black Dagger Brotherhood)
",J.R. Ward,,"Paranormal,Vampires,Romance,Paranormal Romance,Fantasy,Paranormal,Romance,Fantasy,Fantasy,Urban Fantasy,Adult,Fiction,Fantasy,Supernatural",October 7th 2008,NAL,,,"1,076","29,865",4.32
6379,My Horizontal Life: A Collection of One-Night Stands,,Chelsea Handler,,"Nonfiction,Humor,Autobiography,Memoir,Humor,Comedy,Biography,Womens Fiction,Chick Lit,Biography,Autobiography,Audiobook,Biography Memoir",June 6th 2005,"Bloomsbury USA

            ,",,,"6,285","110,903",3.77
6380,Batman: Dark Victory,"
        (Batman: Dark Victory #0.5-13)
","Jeph Loeb,Tim Sale",,"Sequential Art,Comics,Sequential Art,Graphic Novels,Dc Comics,Batman,Superheroes,Dc Comics,Comics,Comic Book,Graphic Novels Comics,Fiction,Comics,Superheroes,Mystery",October 1st 2002,"DC Comics

            ,",,,880,"28,903",4.14
6381,Grand Prix: Formula One in the deadly years,,Richard Melville,,,Jun-14,Richard Melville,,,3,54,3.8
6382,Last Train to Istanbul,,"Ayşe Kulin,John W. Baker",,"Historical,Historical Fiction,Fiction,War,World War II,Historical,War,Asian Literature,Turkish Literature,Romance,Cultural,Turkish,World War II,Holocaust",October 8th 2013,"Amazon Crossing

            ,",,,"1,835","25,422",3.87
6383,State of the Union,,Douglas Kennedy,,"Fiction,Contemporary,Roman,Novels,Historical,Historical Fiction,Romance,Cultural,France,Womens Fiction,Marriage",June 1st 2006,"Arrow

            ,",,,229,"2,633",3.79
6384,Daughter of Venice,,Donna Jo Napoli,,"Historical,Historical Fiction,Young Adult,Historical,Fiction,Cultural,Italy,Romance,Childrens,Young Adult,Teen,Fantasy",December 9th 2003,"Laurel Leaf

            ,",,,208,"3,057",3.72
6385,"The Ultimates, Volume 1: Super-Human","
        (The Ultimates (Collected Editions) #1)
","Mark Millar,Bryan Hitch,Andrew Currie",,"Sequential Art,Comics,Sequential Art,Graphic Novels,Superheroes,Marvel,Comics,Comic Book,Fiction,Comics,Superheroes,Graphic Novels Comics,Fantasy,Science Fiction",April 12th 2006,Marvel,,,281,"8,703",4.1
6386,"Song of the Unicorns (Avalon: Web of Magic, #7)","
        (Avalon: Web of Magic #7)
",Rachel Roberts,,"Fantasy,Childrens,Middle Grade,Fantasy,Magic,Fiction,Young Adult,Childrens,Fantasy,Unicorns,Adventure,Animals",July 1st 2003,CDS Books,,,23,980,4.17
6387,Postcard Killers,,"James Patterson,Liza Marklund",,"Mystery,Fiction,Thriller,Mystery,Crime,Suspense,Thriller,Mystery Thriller,Audiobook,Adult,Mystery,Murder Mystery",2010,"Little, Brown And Company",,,"2,098","26,406",3.81
6388,Kitty and the Midnight Hour (Kitty Norville #1),"
        (Kitty Norville #1)
",Carrie Vaughn,,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Shapeshifters,Werewolves,Paranormal,Vampires,Fiction,Paranormal,Shapeshifters,Romance,Paranormal Romance,Romance",November 1st 2005,Grand Central Publishing,,,"1,796","33,739",3.67
6389,Shug,,Jenny Han,,"Young Adult,Romance,Childrens,Middle Grade,Realistic Fiction,Contemporary,Fiction,Young Adult,Coming Of Age,Womens Fiction,Chick Lit,Childrens",May 1st 2006,"Simon  Schuster Books for Young Readers

            ,",,,"1,281","10,814",3.99
6390,Jennifer Government,,Max Barry,,"Fiction,Science Fiction,Science Fiction,Dystopia,Humor,Science Fiction,Cyberpunk,Thriller,Politics,Science Fiction Fantasy,Speculative Fiction",February 5th 2004,"Abacus 

            ,",,,"1,211","13,856",3.66
6391,From A to X: A Story in Letters,,John Berger,,"Fiction,Literary Fiction,Novels,Literature,War,Drama,European Literature,British Literature,Romance,Novella",September 17th 2008,"Verso

            ,",,,146,"1,244",3.84
6392,"Where He Belongs (Belonging, #0.5)","
        (Belonging #0.5)
",Rachel Haimowitz,,"Romance,M M Romance,Erotica,BDSM,Contemporary,Short Stories,Fantasy,Dark,LGBT,Science Fiction,Alternate Universe,Romance",July 1st 2011,"Storm Moon Press

            ,",,,37,240,3.58
6393,"Hidden Prey (Lucas Davenport, #15)","
        (Lucas Davenport #15)
",John Sandford,,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Mystery,Detective,Suspense,Audiobook,Mystery,Murder Mystery",April 26th 2005,"G.P. Putnam's Sons

            ,",,,527,"16,719",4.1
6394,Maine,,J. Courtney Sullivan,,"Fiction,Womens Fiction,Chick Lit,Contemporary,Adult Fiction,Audiobook,Family,Adult,Novels,Christianity,Catholic",June 14th 2011,"Knopf

            ,",,,"4,355","33,356",3.38
6395,Roof of the Rockies: A History of Colorado Mountaineering,,William M. Bueler,,,June 1st 2003,Colorado Mountain Club Press,,,6,32,3.94
6396,Patrick: Son of Ireland,,Stephen R. Lawhead,,"Historical,Historical Fiction,Fantasy,Fiction,Historical,Cultural,Ireland,Christian,Christian Fiction,Historical,Medieval,Adventure",January 27th 2004,"HarperTorch

            ,",,,136,"2,339",3.98
6397,Щоденник страченої,,Maria Matios,,,2011,"Піраміда

            ,",,,5,104,3.42
6398,"The Book of Deacon (The Book of Deacon, #1)","
        (The Book of Deacon #1)
",Joseph R. Lallo,,"Fantasy,Fiction,Fantasy,Magic,Young Adult,Fantasy,Dragons,Fantasy,Epic Fantasy,Adventure,Fantasy,Paranormal,Science Fiction Fantasy",January 28th 2010,NaN,,,741,"9,921",3.85
6399,"Down to You (The Bad Boys, #1)","
        (The Bad Boys #1)
",Michelle Leighton,,"Romance,New Adult,Contemporary,Romance,Contemporary Romance,Adult Fiction,Erotica,Adult,Academic,College,Romance,Erotic Romance,Womens Fiction,Chick Lit",September 21st 2012,Smashwords,,,"3,345","66,126",4.04
6400,Shakespeare vs. Lovecraft: A Horror Comedy Mash-Up featuring Shakespeare's Characters and Lovecraft's Creatures,,D.R. O'Brien,,"Horror,Fantasy,Horror,Lovecraftian,Fiction,Humor,Contemporary",August 29th 2012,"CreateSpace Independent Publishing Platform

            ,",,,27,64,3.53
6401,Revenge of the Rose,,Nicole Galland,,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,Romance,Adult Fiction,Adult,Novels",August 8th 2006,"William Morrow

            ,",,,82,611,3.75
6402,"Splendor (Luxe, #4)","
        (Luxe #4)
",Anna Godbersen,,"Historical,Historical Fiction,Young Adult,Romance,Historical,Fiction,Romance,Historical Romance,Womens Fiction,Chick Lit,Young Adult,Teen,Drama",October 27th 2009,"Harper

            ,",,,"1,588","19,710",3.84
6403,"Lost Covenant (Widdershins Adventures, #3)","
        (Widdershins Adventures #3)
",Ari Marmell,,"Fantasy,Young Adult,Adventure,Young Adult,Young Adult Fantasy,Mystery,Fantasy,Magic,Fantasy,High Fantasy,Young Adult,Teen,Fiction",December 3rd 2013,"Pyr

            ,",,,87,841,3.81
6404,"Things Not Seen (Things, #1)","
        (Things #1)
",Andrew Clements,,"Young Adult,Science Fiction,Fiction,Fantasy,Childrens,Middle Grade,Mystery,Childrens,Young Adult,Teen,Romance",February 24th 2004,"Speak

            ,",,,"1,968","25,243",3.89
6405,Red Mandarin Dress (Inspector Chen Cao #5),"
        (Inspector Chen Cao #5)
",Qiu Xiaolong,,"Mystery,Cultural,China,Fiction,Mystery,Crime,Cultural,Asia,Literature,Asian Literature,Thriller,Mystery Thriller,Mystery,Murder Mystery,Novels",November 27th 2007,"Minotaur Books

            ,",,,166,"1,623",3.78
6406,The Bride Collector,,Ted Dekker,,"Christian,Thriller,Audiobook,Thriller,Mystery Thriller,Fiction,Mystery,Christian Fiction,Adult Fiction,Romance",2010,"Hodder & Stoughton

            ,",,,"1,121","11,010",3.85
6407,Days of War Nights of Love: Crimethink for Beginners,,CrimethInc.,,"Nonfiction,Politics,Philosophy,Social Issues,Activism,Anarchism,Poetry,History,Psychology,Self Help",January 1st 2002,"Crimethinc

            ,",,,169,"2,328",3.8
6408,Som jag vill vara,,Katarina von Bredow,,"Young Adult,European Literature,Swedish Literature,Romance,Fiction,Contemporary,European Literature,Scandinavian Literature,Childrens",Aug-07,"Rabén & Sjögren

            ,",,,22,780,3.49
6409,"Trinity Bound (Redwood Pack, #2)","
        (Redwood Pack #2)
",Carrie Ann Ryan,,"Fantasy,Paranormal,Romance,Paranormal,Shapeshifters,Romance,Paranormal Romance,Erotica,Menage,Shapeshifters,Werewolves,Menage,M M F,Paranormal,Demons,Paranormal,Witches",March 28th 2012,NaN,,,174,"2,196",4.09
6410,What She Wants,,Lynsay Sands,,"Romance,Historical Romance,Romance,Historical,Historical,Medieval,Historical,Historical Fiction,Historical Romance,Medieval Romance,Adult,Fiction,Humor",September 1st 2002,Leisure Books,,,81,"1,811",3.98
6411,"Runelight (Runemarks, #2)","
        (Runemarks #2)
",Joanne Harris,,"Fantasy,Fantasy,Mythology,Young Adult,Fiction,Adventure,Fantasy,Magic,Science Fiction Fantasy,Retellings,Young Adult,Young Adult Fantasy",November 8th 2012,"Black Swan

            ,",,,166,"1,807",3.83
6412,Lucky Star,,Cathy Cassidy,,"Childrens,Romance,Contemporary,Childrens,Middle Grade,Young Adult,Fiction,Young Adult,Teen,Womens Fiction,Chick Lit,Realistic Fiction",2007,Puffin,,,137,"4,405",3.93
6413,"Chosen (The Lost Books, #1)","
        (The Lost Books #1)
",Ted Dekker,,"Fantasy,Christian Fiction,Fiction,Young Adult,Christian,Adventure,Young Adult,Teen,Christian Fiction,Christian Fantasy,Science Fiction",December 15th 2007,Thomas Nelson,,,552,"9,715",3.87
6414,Chasing Dreams,,Meshelle Goines,,,December 24th 2013,"Meshelle Goines

            ,",,,1,1,5
6415,"Protector of the Small (Protector of the Small, #1-4)","
        (Protector of the Small #1-4)
",Tamora Pierce,,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Adventure,Young Adult,Young Adult Fantasy,Childrens,Science Fiction Fantasy,Fantasy,High Fantasy",Nov-04,SFBC,,,116,"9,760",4.53
6416,"Bumped (Bumped, #1)","
        (Bumped #1)
",Megan McCafferty,,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fiction,Romance,Young Adult,Teen,Fantasy,Womens Fiction,Chick Lit,Religion",April 26th 2011,Balzer + Bray,,,"2,363","12,994",3.12
6417,The Douglas Notebooks,,"Christine Eddie,Sheila Fischman",,"Fiction,Cultural,Canada,Roman",March 26th 2013,"Goose Lane Editions

            ,",,,38,231,3.97
6418,The Unwinding: An Inner History of the New America,,George Packer,,"Nonfiction,History,Politics,Economics,North American Hi...,American History,Literature,American,Sociology,Writing,Journalism,Biography",May 21st 2013,"Farrar, Straus and Giroux",,,"1,445","11,424",4.13
6419,"Empire in Black and Gold (Shadows of the Apt, #1)","
        (Shadows of the Apt #1)
",Adrian Tchaikovsky,,"Fantasy,Science Fiction,Steampunk,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Science Fiction,Epic,Science Fiction Fantasy,Fantasy,Magic",January 1st 2012,"Tor

            ,",,,544,"9,010",3.69
6420,Spinnenverdriet,,Simone Lenaerts,,,2009,De Geus,,,1,27,3.44
6421,Sexual Healing,,Jill Nelson,,Fiction,June 1st 2003,"Agate Bolden

            ,",,,16,193,3.67
6422,The Mapmaker's Wife,,Robert  Whitaker,,"Nonfiction,History,Travel,Biography,Adventure,Science,Historical,Biography Memoir,Business,Amazon",Jan-05,"Delta

            ,",,,297,"1,507",3.62
6423,The Aircraft Book: The Definitive Visual History,,Philip Whiteman,,"Aviation,History,Reference,Science,Technology",April 2nd 2013,"DK

            ,",,,9,52,4.23
6424,The Devil's Banker,,Christopher Reich,,"Fiction,Thriller,Mystery,Suspense,Spy Thriller,Espionage,Thriller,Mystery Thriller,Audiobook,Adventure",August 3rd 2004,"Dell

            ,",,,75,"1,212",3.71
6425,"Consent to Kill (Mitch Rapp, #8)","
        (Mitch Rapp #8)
",Vince Flynn,,"Fiction,Thriller,Action,Mystery,Spy Thriller,Espionage,Suspense,Thriller,Spy Thriller,Drama,Mystery,Crime",September 1st 2006,"Pocket Star

            ,",,,"1,153","47,226",4.36
6426,"Heartless (The Parasol Protectorate, #4)","
        (Parasol Protectorate #4)
",Gail Carriger,,"Science Fiction,Steampunk,Fantasy,Fantasy,Paranormal,Paranormal,Vampires,Romance,Fantasy,Urban Fantasy,Fiction,Historical,Historical Fiction,Shapeshifters,Werewolves",June 28th 2011,"Little, Brown Book",,,"2,546","34,815",4.03
6427,"The Breaking Point: Hemingway, Dos Passos, and the Murder of José Robles",,Stephen Koch,,"History,Biography,Nonfiction",May 16th 2006,"Counterpoint

            ,",,,27,115,3.95
6428,Filling the Afterlife from the Underworld: Volume 1,"
        (Nicolette Mace: The Raven Siren)
",C.S. Woolley,,,February 25th 2013,Mightier Than the Sword UK,,,5,6,4.33
6429,"Language for a New Century: Contemporary Poetry from the Middle East, Asia, and Beyond",,"Tina Chang,Nathalie Handal,Ravi  Shankar",,"Poetry,Anthologies,Cultural,Asia,Cultural,Turkish,Asian Literature,Japanese Literature,Asian Literature,Indonesian Literature,Cultural,France,Cultural,China,Literature,Asian Literature",April 17th 2008,"W. W. Norton  Company

            ,",,,22,128,4.3
6430,The Rose Petal Beach,"
        (Rose Petal Beach #1)
",Dorothy Koomson,,"Fiction,Womens Fiction,Chick Lit,Romance,Mystery,Contemporary,Mystery,Crime,Thriller,Thriller,Mystery Thriller,Drama",April 1st 2013,"Quercus

            ,",,,664,"7,986",4.03
6431,Sidney Sheldon's The Tides of Memory,,"Tilly Bagshawe,Sidney Sheldon",,"Fiction,Mystery,Thriller,Suspense,Thriller,Mystery Thriller,Romance,Mystery,Crime,Novels,Contemporary",April 9th 2013,"William Morrow

            ,",,,358,"5,477",3.86
6432,"The Preacher (Patrik Hedström, #2)","
        (Fjällbacka #2)
","Camilla Läckberg,Steven T. Murray",,"Mystery,Mystery,Crime,Thriller,Fiction,European Literature,Scandinavian Literature,Thriller,Mystery Thriller,Cultural,Sweden,Audiobook,Scandinavian Lite...,Nordic Noir",April 27th 2011,"Pegasus Crime

            ,",,,"1,916","37,270",3.81
6433,"The Soul Stealer (Rogue Angel, #12)","
        (Rogue Angel #12)
","Alex Archer,Jon F. Merz",,"Fantasy,Adventure,Fiction,Fantasy,Urban Fantasy,Action,Fantasy,Paranormal,Mystery,Thriller,History,Archaeology",May 13th 2008,"Gold Eagle

            ,",,,34,598,3.65
