id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
59,The Invention of Hugo Cabret,,Brian Selznick,,"Historical,Historical Fiction,Fiction,Young Adult,Childrens,Childrens,Middle Grade,Sequential Art,Graphic Novels,Fantasy,Mystery,Historical",Mar-07,Scholastic Press,,,"15,337","178,427",4.19
60,"The Lost Hero (The Heroes of Olympus, #1)","
        (The Heroes of Olympus #1)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Childrens,Middle Grade,Fiction,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",October 12th 2010,Disney-Hyperion Books,,,"24,639","708,206",4.31
61,"Phantom Wolf (Phantom Wolf, #1)","
        (Phantom Wolf #1)
",Kia Carrington-Russell,,"Fantasy,Contemporary,Young Adult,Romance,Fantasy,Paranormal,Drama,Fiction",June 19th 2014,"Crystal Publishing

            ,",,,48,"4,964",3.5
62,Saving CeeCee Honeycutt,,"Beth Hoffman,Jenna Lamia",,"Fiction,Historical,Historical Fiction,Womens Fiction,Chick Lit,American,Southern,Young Adult,Coming Of Age,Adult Fiction,Audiobook,Adult,Young Adult",January 12th 2010,"Penguin Audio

            ,",,,"8,924","82,797",3.92
63,Life Expectancy,,Dean Koontz,,"Horror,Fiction,Thriller,Mystery,Suspense,Fantasy,Thriller,Mystery Thriller,Audiobook,Humor",October 25th 2005,"Bantam Books

            ,",,,"1,998","37,133",3.95
64,"Trust: A New Beginning (Trust Trilogy, #1)","
        (TRUST [8-part] #1)
",Cristiane Serruya,,"Romance,Adult Fiction,Erotica,Contemporary,Romance,Contemporary Romance,Dark,Fiction,Suspense,Adult,Business,Amazon",November 14th 2012,CreateSpace,,,146,"5,474",3.49
65,"Hard Eight (Stephanie Plum, #8)","
        (Stephanie Plum #8)
","Janet Evanovich,Lorelei King",,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Contemporary",June 16th 2003,"St. Martin's Press

            ,",,,"2,326","122,366",4.14
66,"Six of Crows (Six of Crows, #1)","
        (Six of Crows  #1)
",Leigh Bardugo,,"Fantasy,Young Adult,Fiction,Young Adult,Young Adult Fantasy,Adventure,Fantasy,Magic,LGBT,Romance,Fantasy,High Fantasy",September 29th 2015,Henry Holt & Company,,,"63,814","551,041",4.47
67,"Across the Nightingale Floor (Tales of the Otori, #1)","
        (Tales of the Otori #1)
",Lian Hearn,,"Fantasy,Fiction,Historical,Historical Fiction,Young Adult,Cultural,Japan,Historical,Romance,Adventure,Historical Fiction,Historical Fantasy",January 1st 2002,Riverhead Books,,,"2,255","37,644",4.06
68,Bossypants,,Tina Fey,,"Nonfiction,Autobiography,Memoir,Humor,Biography,Audiobook,Humor,Comedy,Biography,Autobiography,Biography Memoir,Feminism",April 5th 2011,Reagan Arthur Books,,,"40,257","917,298",3.95
69,"Dead Witch Walking (The Hollows, #1)","
        (The Hollows #1)
",Kim Harrison,,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Fantasy,Magic,Fiction,Fantasy,Supernatural,Romance,Paranormal Romance",July 1st 2004,"HarperTorch

            ,",,,"5,056","124,147",4.02
70,"Iron Kissed (Mercy Thompson, #3)","
        (Mercy Thompson #3)
",Patricia Briggs,,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Shapeshifters,Werewolves,Paranormal,Vampires,Romance,Paranormal Romance,Paranormal,Shapeshifters,Fiction",January 2nd 2008,Ace,,,"4,068","119,078",4.31
71,Duma Key,,Stephen King,,"Horror,Fiction,Thriller,Fantasy,Fantasy,Supernatural,Mystery,Audiobook,Fantasy,Paranormal,Suspense",January 22nd 2008,Scribner Book Company,,,"5,934","110,645",3.94
72,The Children of Húrin,"
        (Middle-earth Universe)
","J.R.R. Tolkien,Christopher Tolkien,Alan       Lee",,"Fantasy,Fiction,Classics,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Adventure,Science Fiction Fantasy,Young Adult,Childrens",April 16th 2007,HarperCollins,,,"3,602","74,601",3.97
73,The Nix,,Nathan  Hill,,"Fiction,Historical,Historical Fiction,Audiobook,Literary Fiction,Contemporary,Novels,Historical,Adult Fiction,Literature",August 30th 2016,Knopf,,,"7,975","67,243",4.05
74,"Lirael (Abhorsen, #2)","
        (Abhorsen #2)
",Garth Nix,,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Adventure,Fantasy,High Fantasy,Young Adult,Young Adult Fantasy,Science Fiction Fantasy,Audiobook",December 30th 2015,"Eos

            ,",,,"3,306","118,459",4.24
75,Peony in Love,,Lisa See,,"Historical,Historical Fiction,Fiction,Cultural,China,Historical,Romance,Cultural,Asia,Fantasy,Literature,Asian Literature,Adult Fiction",June 26th 2007,Random House,,,"4,614","45,691",3.62
76,The Purpose Driven Life: What on Earth Am I Here for?,,Rick Warren,,"Christian,Nonfiction,Religion,Self Help,Spirituality,Religion,Christianity,Religion,Faith,Christian,Christian Living,Inspirational",February 1st 2007,"Zondervan Publishing Company

            ,",,,"3,485","248,215",3.94
